"order_id","order_date","customer_id","customer_name","email","country","product_category","product_name","quantity","unit_price","discount_pct","shipping_cost","payment_method","order_status","device_type","row_num"
1002,"2024-01-05","C002","Sara Mitchell","sara.mitchell@email.com","United States","Skins","Carbon Fibre Skin - MacBook Pro 14",1,"29.99","10.00","0.00","PayPal","Delivered","Desktop","1"
1005,"2024-01-09","C005","Kevin Obi","kevin.obi@email.com","Canada","Accessories","dbrand Grip Stand",1,"24.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1008,"2024-01-14","C007","Tom Wallace","tom.wallace@email.com","United States","Phone Cases","Grip Case - Google Pixel 8",1,"34.99","0.00","0.00","PayPal","Delivered","Desktop","1"
1011,"2024-01-18","C010","Fatima Al-Hassan","fatima.alhassan@email.com","Canada","Skins","Matte Black Skin - MacBook Air M2",1,"29.99","10.00","7.99","PayPal","Delivered","Desktop","1"
1014,"2024-01-22","C012","Aisha Diallo","aisha.diallo@email.com","Canada","Skins","Robot Skin - Samsung Galaxy S24",1,"39.99","5.00","7.99","PayPal","Delivered","Mobile","1"
1017,"2024-01-26","C015","Emmanuel Nwosu","emmanuel.nwosu@email.com","United States","Skins","Matte Black Skin - PS5",1,"44.99","0.00","0.00","PayPal","Delivered","Desktop","1"
1020,"2024-01-30","C018","Mei Wong","mei.wong@email.com","Canada","Skins","Robot Skin - iPhone 15 Pro",1,"39.99","5.00","7.99","PayPal","Delivered","Mobile","1"
1022,"2024-02-02","C020","Ingrid Svensson","ingrid.svensson@email.com","Canada","Skins","Carbon Fibre Skin - MacBook Pro 14",1,"29.99","10.00","7.99","PayPal","Delivered","Desktop","1"
1026,"2024-02-07","C023","Victor Santos","victor.santos@email.com","Canada","Skins","Robot Skin - MacBook Pro 14",1,"39.99","5.00","7.99","PayPal","Delivered","Desktop","1"
1029,"2024-02-10","C026","Sophie Tremblay","sophie.tremblay@email.com","Canada","Skins","Carbon Fibre Skin - iPad Pro 11",1,"24.99","0.00","7.99","PayPal","Delivered","Tablet","1"
1032,"2024-02-14","C029","Omar Farouq","omar.farouq@email.com","Canada","Accessories","dbrand Grip Stand",1,"24.99","15.00","7.99","PayPal","Delivered","Mobile","1"
1035,"2024-02-18","C032","Yuki Tanaka","yuki.tanaka@email.com","United States","Skins","Carbon Fibre Skin - MacBook Pro 16",1,"29.99","10.00","0.00","PayPal","Delivered","Desktop","1"
1038,"2024-02-21","C035","Grace Mensah","grace.mensah@email.com","United States","Phone Cases","Grip Case - iPhone 15 Pro",1,"34.99","0.00","0.00","PayPal","Delivered","Mobile","1"
1041,"2024-02-25","C038","Kwame Asante","kwame.asante@email.com","Canada","Phone Cases","Grip Case - Samsung Galaxy S24",2,"34.99","10.00","7.99","PayPal","Delivered","Mobile","1"
1044,"2024-02-28","C041","Adaeze Nwofor","adaeze.nwofor@email.com","Canada","Accessories","Screen Protector - iPhone 15 Pro",2,"14.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1047,"2024-03-04","C044","Ethan Clarke","ethan.clarke@email.com","United States","Accessories","dbrand Grip Stand",1,"24.99","0.00","0.00","PayPal","Delivered","Mobile","1"
1050,"2024-03-07","C047","Amina Bello","amina.bello@email.com","Canada","Skins","Matte Black Skin - MacBook Air M2",1,"29.99","10.00","7.99","PayPal","Delivered","Desktop","1"
1053,"2024-03-11","C050","Tobias Müller","tobias.muller@email.com","Canada","Accessories","Screen Protector - iPad Pro",1,"14.99","0.00","7.99","PayPal","Delivered","Tablet","1"
1057,"2024-03-15","C053","Mohammed Al-Rashid","mohammed.alrashid@email.com","Canada","Accessories","dbrand Grip Stand",2,"24.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1060,"2024-03-19","C056","Aaliyah Johnson","aaliyah.johnson@email.com","United States","Skins","Robot Skin - iPhone 15 Pro",1,"39.99","5.00","0.00","PayPal","Delivered","Mobile","1"
1064,"2024-03-24","C060","Blessing Eze","blessing.eze@email.com","Canada","Phone Cases","Grip Case - Google Pixel 8",1,"34.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1067,"2024-03-27","C063","Tanya Osei","tanya.osei@email.com","United States","Skins","Robot Skin - MacBook Pro 14",1,"39.99","5.00","0.00","PayPal","Delivered","Desktop","1"
1072,"2024-04-02","C068","Petra Novak","petra.novak@email.com","United States","Skins","Carbon Fibre Skin - MacBook Pro 14",1,"29.99","10.00","0.00","PayPal","Delivered","Desktop","1"
1075,"2024-04-05","C071","Luca Bianchi","luca.bianchi@email.com","United Kingdom","Phone Cases","Grip Case - Google Pixel 8 Pro",1,"34.99","0.00","4.99","PayPal","Delivered","Mobile","1"
1079,"2024-04-10","C075","Saoirse O'Brien","saoirse.obrien@email.com","United Kingdom","Skins","Carbon Fibre Skin - MacBook Pro 16",1,"29.99","0.00","4.99","PayPal","Delivered","Desktop","1"
1082,"2024-04-14","C078","Chukwuemeka Agu","chukwuemeka.agu@email.com","Canada","Phone Cases","Grip Case - Samsung Galaxy S24",2,"34.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1085,"2024-04-17","C010","Fatima Al-Hassan","fatima.alhassan@email.com","Canada","Skins","Matte Black Skin - MacBook Air M2",1,"29.99","10.00","7.99","PayPal","Delivered","Desktop","1"
1088,"2024-04-20","C083","Emeka Okafor","emeka.okafor@email.com","Canada","Phone Cases","Grip Case - Google Pixel 8",1,"34.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1092,"2024-04-24","C087","Olusegun Balogun","olusegun.balogun@email.com","Canada","Phone Cases","Grip Case - iPhone 15 Pro Max",1,"34.99","0.00","7.99","PayPal","Delivered","Mobile","1"
1096,"2024-04-28","C091","Olumide Fashola","olumide.fashola@email.com","Canada","Skins","Robot Skin - MacBook Pro 14",1,"39.99","5.00","7.99","PayPal","Delivered","Desktop","1"
1100,"2024-05-02","C095","Nneka Obi","nneka.obi@email.com","Canada","Skins","Robot Skin - iPhone 15 Pro",1,"39.99","5.00","7.99","PayPal","Delivered","Mobile","1"
1103,"2024-05-05","C098","Brigitte Fontaine","brigitte.fontaine@email.com","Canada","Skins","Carbon Fibre Skin - MacBook Pro 16",1,"29.99","10.00","7.99","PayPal","Delivered","Desktop","1"
1106,"2024-05-08","C101","Dmitri Volkov","dmitri.volkov@email.com","United States","Accessories","dbrand Grip Stand",1,"24.99","0.00","0.00","PayPal","Delivered","Desktop","1"
1109,"2024-05-11","C104","Simone Dubois","simone.dubois@email.com","Canada","Skins","Carbon Fibre Skin - iPad Pro 11",1,"24.99","0.00","7.99","PayPal","Delivered","Tablet","1"
1113,"2024-05-15","C108","Amelia Foster","amelia.foster@email.com","United States","Phone Cases","Grip Case - iPhone 15 Pro",1,"34.99","0.00","0.00","PayPal","Delivered","Mobile","1"
1116,"2024-05-18","C111","Chidi Okonkwo","chidi.okonkwo@email.com","Canada","Phone Cases","Grip Case - Google Pixel 8",1,"34.99","0.00","7.99","PayPal","Delivered","Mobile","1"
